Altium Designer Pick and Place Locations
C:\Wrk_Altium\Felix\PanelDriver2\Project Outputs for PanelDriver\Pick Place\Pick Place for PanelDriver.csv

========================================================================================================================
File Design Information:

Date:       23.03.24
Time:       18:35
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"C21","0.1uF","TopLayer","C0603","21.0000","30.7500","0","25V 100nF X7R ±10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"C22","12pF","TopLayer","C0603","11.5000","28.7500","270","50V 22pF X7R ±10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"C23","12pF","TopLayer","C0603","11.5000","24.7500","90","50V 22pF X7R ±10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"R15","22","TopLayer","R0603","34.7500","37.0000","180","125mW Thick Film Resistors ±100ppm/? ±5% 22? 0603  Chip Resistor - Surface Mount ROHS"
"R18","1M","TopLayer","R0603","19.7500","26.5000","270","125mW Thick Film Resistors ±100ppm/? ±5% 1M 0603  Chip Resistor - Surface Mount ROHS"
"R17","10k","TopLayer","R0603","21.0000","32.5000","180","125mW Thick Film Resistors ±100ppm/? ±5% 10k? 0603  Chip Resistor - Surface Mount ROHS"
"R11","6.8k","TopLayer","R0603","38.0000","39.0000","180","125mW Thick Film Resistors ±100ppm/? ±5% 6.8k? 0603  Chip Resistor - Surface Mount ROHS"
"P1","Header 2","TopLayer","HDR1X2","6.7300","2.0000","180","Header, 2-Pin"
"P2","Header 2","TopLayer","HDR1X2","63.0000","21.7700","90","Header, 2-Pin"
"R16","22","TopLayer","R0603","38.0000","37.0000","0","125mW Thick Film Resistors ±100ppm/? ±5% 22? 0603  Chip Resistor - Surface Mount ROHS"
"R13","1k","TopLayer","R0603","15.5000","42.5000","180","125mW Thick Film Resistors ±100ppm/? ±5% 1k? 0603  Chip Resistor - Surface Mount ROHS"
"U4","ATMEGA2560-16AU","TopLayer","TQFP100A","31.5000","25.0000","270","256KB 4.5V~5.5V AVR 8KB 16MHz FLASH 86 TQFP-100(14x14)  Microcontroller Units (MCUs/MPUs/SOCs) ROHS"
"LED1","GREEN","TopLayer","LED-0603-GREEN","34.7500","39.0000","180","0603  Light Emitting Diodes (LED) ROHS"
"LED2","GREEN","TopLayer","LED-0603-GREEN","41.2500","39.0000","180","0603  Light Emitting Diodes (LED) ROHS"
"LED3","GREEN","TopLayer","LED-0603-GREEN","12.0000","42.5000","180","0603  Light Emitting Diodes (LED) ROHS"
"LED4","GREEN","TopLayer","LED-0603-GREEN","19.2500","42.5000","180","0603  Light Emitting Diodes (LED) ROHS"
"Y1","16MHz","TopLayer","HC-49/US-SMD","15.2500","26.7500","270","Crystal 16MHz 12pF SMD"
"P3","Header 4","TopLayer","HDR1X4","15.6900","2.0000","180","Header, 4-Pin"
"R12","6.8k","TopLayer","R0603","44.5000","39.0000","180","125mW Thick Film Resistors ±100ppm/? ±5% 6.8k? 0603  Chip Resistor - Surface Mount ROHS"
"C25","0.1uF","TopLayer","C0603","27.7500","42.5000","180","25V 100nF X7R ±10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"TF1","SD CARD","TopLayer","L-KLS1-TF-003-uSD","55.2500","33.9500","90","SDCARD"
"R5","47k","TopLayer","R0603","9.7500","16.2500","0","Resistor"
"R7","47k","TopLayer","R0603","9.7500","14.5000","0","Resistor"
"R3","1k","TopLayer","R0603","12.7500","16.2500","0","Resistor"
"R4","1k","TopLayer","R0603","12.7500","14.5000","180","Resistor"
"R8","100k","TopLayer","R0603","22.8500","6.9750","270","Resistor"
"R6","100k","TopLayer","R0603","9.0000","7.0000","90","Resistor"
"R1","10k","TopLayer","R0603","62.6500","14.5000","0","Resistor"
"R2","3R","TopLayer","R0603","62.6500","16.4500","0","Resistor"
"R10","1k","TopLayer","R0603","29.7500","13.2500","0","Resistor"
"Q3","S8050","TopLayer","SOT-23","9.7500","11.4500","90","S8050"
"Q2","AO3401","TopLayer","SOT-23","12.0500","7.0000","180","AO3401"
"Q1","Si1308EDL","TopLayer","SOT323-3","59.5000","15.8000","90","Si1308EDL"
"J1","PFC24/0.5MM","TopLayer","PFC24/0.5MM","54.2500","3.6750","0","24 Position FFC, FPC Connector Contacts, Bottom 0.020" (0.50mm) Surface Mount, Right Angle"
"D3","MBR0530","TopLayer","SOD123","51.2000","13.7500","90","MBR0530"
"D2","MBR0530","TopLayer","SOD123","46.7000","13.7500","90","MBR0530"
"D1","MBR0530","TopLayer","SOD123","48.9500","13.7500","90","MBR0530"
"D4","1N4148WS","TopLayer","SOD-323","16.7500","15.2500","180","1N4148WS"
"C15","100n","TopLayer","C0603","47.8500","32.4000","90","Capacitor"
"C9","4.7uF","TopLayer","C0603","59.5000","12.2500","0","Capacitor"
"C12","100nF","TopLayer","C0603","49.9500","17.0000","0","Capacitor"
"C8","1uF","TopLayer","C0603","45.7500","9.2500","90","Capacitor"
"C7","1uF","TopLayer","C0603","47.5000","9.2500","90","Capacitor"
"C6","1uF","TopLayer","C0603","49.2500","9.2500","90","Capacitor"
"C5","1uF","TopLayer","C0603","51.0000","9.2500","90","Capacitor"
"C4","1uF","TopLayer","C0603","52.7500","9.2500","90","Capacitor"
"C3","1uF","TopLayer","C0603","54.5000","9.2500","90","Capacitor"
"C2","1uF","TopLayer","C0603","56.2500","9.2500","90","Capacitor"
"C1","100nF","TopLayer","C0603","58.0000","9.2500","90","Capacitor"
"C16","22nF","TopLayer","C0603","22.8500","10.6750","270","Capacitor"
"C17","10uF","TopLayer","C0603","16.3500","10.5750","90","Capacitor"
"L1","68uH","TopLayer","CD43","55.0000","14.0000","90","SMD, 4x4mm  Inductor"
"U3","RT9193","TopLayer","SOT23-5","19.6000","8.8250","90","RT9193"
"U2","23LC1024","TopLayer","SO8","29.2500","8.0000","90","23LC1024"
"C11","1uF","TopLayer","C0603","59.7500","9.2500","90","Capacitor"
"C10","1uF","TopLayer","C0603","61.5000","9.2500","90","Capacitor"
"U1","TXS0108EPWR","TopLayer","TSSOP-20_0.65MM","38.7500","9.7500","90","TXS0108EPWR"
"R9","1k","TopLayer","R0603","20.5000","15.2500","0","Resistor"
"C19","100n","TopLayer","C0603","26.5000","13.2500","0","Capacitor"
"C14","1uF","TopLayer","C0603","16.3500","7.0750","270","Capacitor"
"C18","100nF","TopLayer","C0603","34.0000","12.0000","90","Capacitor"
"C13","100nF","TopLayer","C0603","34.0000","7.2500","270","Capacitor"
